iter	Passed	Remaining
0	134	134492
1	135	67662
2	136	45304
3	137	34121
4	137	27436
5	138	22939
6	139	19728
7	139	17312
8	140	15430
9	140	13945
10	141	12722
11	142	11700
12	142	10833
13	143	10090
14	143	9446
15	144	8892
16	145	8409
17	146	7987
18	147	7606
19	148	7260
20	149	6947
21	149	6659
22	150	6396
23	151	6162
24	152	5939
25	152	5731
26	153	5543
27	154	5364
28	155	5197
29	155	5040
30	156	4899
31	157	4758
32	158	4632
33	158	4512
34	159	4398
35	160	4293
36	161	4192
37	162	4102
38	162	4012
39	163	3925
40	164	3839
41	164	3757
42	165	3678
43	165	3603
44	166	3531
45	166	3463
46	167	3397
47	168	3334
48	168	3275
49	169	3218
50	170	3163
51	170	3110
52	171	3057
53	171	3007
54	172	2960
55	172	2913
56	173	2869
57	174	2827
58	174	2785
59	175	2745
60	175	2706
61	176	2668
62	176	2632
63	177	2597
64	178	2562
65	178	2528
66	179	2497
67	179	2465
68	180	2434
69	180	2404
70	181	2376
71	182	2347
72	182	2320
73	183	2293
74	183	2267
75	184	2241
76	184	2216
77	185	2192
78	186	2168
79	186	2145
80	187	2122
81	187	2100
82	187	2076
83	188	2056
84	189	2037
85	189	2018
86	190	2000
87	191	1984
88	192	1966
89	192	1949
90	193	1932
91	194	1915
92	194	1899
93	195	1884
94	196	1867
95	196	1851
96	197	1835
97	197	1820
98	198	1804
99	198	1789
100	199	1775
101	199	1760
102	200	1746
103	201	1732
104	201	1718
105	202	1705
106	202	1692
107	203	1679
108	203	1667
109	204	1654
110	205	1642
111	205	1630
112	206	1618
113	206	1606
114	207	1595
115	207	1583
116	208	1571
117	208	1560
118	209	1549
119	209	1538
120	210	1528
121	210	1517
122	211	1507
123	212	1497
124	212	1487
125	213	1478
126	213	1467
127	214	1457
128	214	1448
129	215	1440
130	215	1432
131	216	1424
132	217	1416
133	217	1408
134	218	1400
135	219	1392
136	219	1384
137	220	1376
138	220	1368
139	221	1361
140	222	1355
141	222	1347
142	223	1340
143	224	1333
144	224	1326
145	225	1319
146	226	1313
147	226	1306
148	227	1300
149	228	1294
150	229	1288
151	229	1283
152	230	1276
153	231	1270
154	231	1264
155	232	1258
156	233	1253
157	234	1247
158	234	1241
159	235	1237
160	236	1230
161	236	1224
162	237	1218
163	237	1213
164	238	1207
165	239	1202
166	240	1197
167	240	1191
168	241	1186
169	241	1181
170	242	1176
171	243	1170
172	243	1165
173	244	1161
174	245	1156
175	245	1151
176	246	1146
177	247	1141
178	247	1136
179	248	1131
180	248	1126
181	249	1122
182	250	1118
183	251	1114
184	251	1109
185	252	1105
186	253	1101
187	254	1097
188	255	1094
189	255	1090
190	256	1086
191	257	1082
192	257	1078
193	258	1074
194	259	1069
195	259	1065
196	260	1061
197	261	1057
198	261	1053
199	262	1049
200	263	1045
201	263	1041
202	264	1037
203	264	1033
204	265	1030
205	266	1026
206	267	1023
207	267	1019
208	268	1015
209	268	1011
210	269	1007
211	269	1003
212	270	999
213	271	995
214	271	993
215	272	989
216	273	985
217	273	982
218	274	979
219	275	975
220	275	971
221	276	968
222	277	965
223	277	962
224	278	958
225	278	955
226	279	951
227	280	948
228	280	944
229	281	941
230	282	938
231	282	935
232	283	932
233	284	930
234	284	927
235	285	924
236	286	921
237	286	917
238	287	914
239	287	911
240	288	908
241	289	905
242	289	902
243	290	899
244	290	896
245	291	893
246	292	890
247	292	887
248	293	885
249	294	882
250	294	879
251	295	876
252	296	874
253	296	871
254	297	868
255	297	865
256	298	863
257	299	860
258	300	858
259	301	856
260	301	854
261	302	852
262	303	849
263	304	847
264	304	845
265	305	843
266	306	841
267	306	838
268	307	835
269	308	833
270	308	830
271	309	827
272	310	825
273	310	823
274	311	822
275	312	819
276	313	817
277	313	815
278	314	813
279	315	811
280	316	809
281	316	807
282	317	804
283	318	802
284	318	799
285	319	797
286	319	794
287	320	792
288	321	790
289	321	788
290	322	785
291	323	783
292	323	781
293	324	778
294	324	776
295	325	773
296	325	771
297	326	769
298	327	767
299	327	765
300	328	762
301	329	760
302	329	758
303	330	755
304	330	754
305	331	752
306	332	750
307	333	748
308	333	746
309	334	744
310	334	742
311	335	739
312	336	737
313	336	735
314	337	733
315	338	731
316	338	729
317	339	727
318	339	725
319	340	723
320	340	721
321	341	719
322	342	717
323	343	715
324	343	714
325	344	712
326	345	710
327	345	708
328	346	706
329	346	704
330	347	702
331	347	700
332	348	698
333	349	696
334	349	694
335	350	692
336	351	690
337	351	688
338	352	686
339	352	684
340	353	683
341	354	681
342	354	679
343	355	677
344	356	676
345	357	675
346	357	673
347	358	671
348	359	670
349	359	668
350	360	666
351	361	664
352	361	662
353	362	660
354	362	659
355	363	657
356	363	655
357	364	653
358	365	651
359	365	650
360	366	648
361	366	646
362	367	644
363	368	643
364	368	641
365	369	639
366	369	637
367	370	636
368	371	634
369	371	633
370	372	632
371	373	630
372	374	628
373	374	627
374	375	625
375	376	624
376	376	622
377	377	621
378	378	619
379	378	618
380	379	616
381	380	614
382	380	613
383	381	611
384	381	609
385	382	608
386	382	606
387	383	604
388	384	603
389	384	601
390	385	600
391	386	599
392	387	597
393	387	596
394	388	594
395	388	593
396	389	591
397	390	590
398	390	588
399	391	586
400	391	585
401	392	583
402	393	582
403	393	580
404	394	579
405	394	577
406	395	576
407	396	574
408	396	573
409	397	571
410	398	570
411	398	568
412	399	567
413	399	565
414	400	564
415	400	562
416	401	561
417	401	559
418	402	557
419	402	556
420	403	554
421	404	553
422	404	552
423	405	550
424	405	549
425	406	547
426	407	546
427	407	544
428	408	543
429	409	542
430	409	540
431	410	539
432	410	538
433	411	536
434	412	535
435	412	534
436	413	532
437	414	531
438	415	530
439	415	529
440	416	528
441	417	526
442	417	525
443	418	524
444	419	522
445	419	521
446	420	520
447	421	519
448	422	517
449	422	516
450	423	515
451	423	513
452	424	512
453	424	511
454	425	509
455	426	508
456	427	507
457	427	506
458	428	505
459	429	503
460	429	502
461	430	501
462	431	500
463	432	499
464	432	497
465	433	496
466	434	495
467	434	494
468	435	493
469	436	491
470	436	490
471	437	489
472	438	488
473	439	487
474	439	486
475	440	484
476	441	483
477	441	482
478	442	481
479	443	480
480	444	479
